profile-config,,
last-modified,name,profile-id,vendor,protocol,available-version,products-supported,device-type
2019-04-05 13:32:10,alcatel-mpr9500,alcatel-mpr9500,alcatel,SNMP,7.0.4,mpr9500,B,*,MICROWAVE_RADIO
2019-04-05 13:32:09,alcatel-omc-ran,alcatel-omc-ran,Alcatel Lucent,SNMP,7.0.4,OMC-RAN,B,*,UNKNOWN
2019-04-05 13:32:08,alcatel-omniswitch-6250,alcatel-omniswitch-6250,Alcatel,SNMP,7.0.4,OmniSwitch-6250,D,*,SWITCH
2019-04-05 13:32:07,alcatel-omniswitch-6850e,alcatel-omniswitch-6850e,Alcatel,SNMP,7.0.6,OmniSwitch-6850E,D,*,SWITCH
2019-04-05 13:32:06,alcatel-oms1350,alcatel-oms1350,Alactel-Lucent,SNMP,7.0.4,Oms1350,B,.*,MANAGER
2019-04-05 13:32:05,allied-telesis-9100,allied-telesis-9100,Allied-Telesis,SNMP,7.0.4,AT9100,C1,*,UNKNOWN
2019-04-05 13:32:04,allied-telesis-9700,allied-telesis-9700,Allied-Telesis,SNMP,7.0.4,AT9700,B,*,UNKNOWN
2019-04-05 13:32:03,allied-telesis-9810,allied-telesis-9810,Allied-Telesis,SNMP,7.0.4,AT9810,C,*,UNKNOWN
2019-04-05 13:32:02,allied-telesis-9900,allied-telesis-9900,Allied-Telesis,SNMP,7.0.4,AT9900,B,*,UNKNOWN
2019-04-05 13:32:01,alpha-alphanet-dsm,alpha-alphanet-dsm,Alpha,SNMP,7.0.9,UPS,C1,AlphaNet DSM,UPS
2019-04-05 13:31:59,alpha-cordex-hp,alpha-cordex-hp,Alpha,SNMP,7.0.4,cordex-hp,C1,*,RECTIFIER
2019-04-05 13:31:58,alpha-ups-fxm,alpha-ups-fxm,Alpha Technologies,SNMP,7.0.4,FXM UPS,C1,FXM Series,UPS
2019-04-05 13:31:57,alvarion-breezemax-macro,alvarion-breezemax-macro,Alvarion,SNMP,7.0.4, BreezeMAX Macro,B,*,UNKNOWN
2019-04-05 13:31:56,alvarion-breezemax-micro,alvarion-breezemax-micro,Alvarion,SNMP,7.0.4,BreezeMAX Micro,B,*,UNKNOWN
2019-04-05 13:31:55,am-9362,am-9362,AM Communications,SNMP,7.0.4,Transponder,C1,9362,POWER_EQUIPMENT
2019-04-05 13:31:54,arris-apex1000,arris-apex1000,Arris,SNMP,7.0.4,APEX-1000,C1,*,UNKNOWN
2019-04-05 13:31:53,arris-modem,arris-modem,ARRIS,SNMP,7.0.4,Arris Modem,D,,CABLE_MODEM
